|   iter    |  target   |   alpha   |     k     |     l     |
|  23       | -4.272e+0 |  0.06247  |  2.639    |  11.75    |
|  24       | -2.781e+0 |  0.09279  |  1.408    |  8.375    |
|  25       | -1.04e+03 |  0.1823   |  2.868    |  13.6     |
|  26       | -443.8    |  0.1608   |  1.954    |  8.885    |
|  27       | -4.75e+03 |  0.04601  |  1.194    |  10.15    |
|  28       | -959.5    |  0.1716   |  3.56     |  12.47    |
|  29       | -1.36e+03 |  0.1197   |  1.345    |  6.319    |
|  30       | -1.025e+0 |  0.1678   |  2.256    |  4.849    |
|  31       | -1.03e+03 |  0.1827   |  2.867    |  13.6     |
|  32       | -3.189e+0 |  0.06549  |  2.654    |  3.9      |
|  33       | -5.947e+0 |  0.008599 |  2.245    |  1.069    |
|  34       | -1.749e+0 |  0.1989   |  2.967    |  7.118    |
|  35       | -5.387e+0 |  0.02769  |  2.313    |  10.04    |
|  36       | -236.9    |  0.1377   |  3.189    |  3.527    |
|  37       | -258.1    |  0.1395   |  3.225    |  3.519    |
|  38       | -1.956e+0 |  0.08738  |  1.58     |  1.985    |
|  39       | -6.074e+0 |  0.008435 |  1.351    |  7.523    |
|  40       | -1.237e+0 |  0.1726   |  2.257    |  4.84     |
|  41       | -5.103e+0 |  0.03962  |  2.061    |  12.44    |
|  42       | -782.5    |  0.1526   |  2.405    |  3.548    |
|  43       | -953.0    |  0.1725   |  3.562    |  12.49    |
|  44       | -1.421e+0 |  0.0988   |  1.564    |  1.985    |
|  45       | -3.794e+0 |  0.05095  |  3.536    |  2.699    |
|  46       | -225.9    |  0.1375   |  3.193    |  3.521    |
|  47       | -6.321e+0 |  0.003107 |  3.327    |  12.97    |
|  48       | -582.6    |  0.158    |  2.24     |  4.83     |
|  49       | -632.5    |  0.159    |  2.241    |  4.847    |
|  50       | -39.26    |  0.1412   |  2.265    |  4.852    |
|  51       | -5.641e+0 |  0.0167   |  1.607    |  4.872    |
