α,p,l
0.054,1.0,1.7150421751222082
0.055,0.32,2.0481730783488112
0.055,0.33,2.0382343281349815
0.055,0.34,2.0286472403183953
0.055,0.35,2.019389478962075
0.055,0.36,2.0104402963258456
0.055,0.37,2.001780416423494
0.055,0.38,1.9933919292080178
0.055,0.39,1.9852581938586893
0.055,0.4,1.9773637499646108
0.055,0.41,1.9696942356428209
0.055,0.42,1.9622363118138222
0.055,0.43,1.9549775919981909
0.055,0.44,1.947906577105555
0.055,0.45,1.9410125947699972
0.055,0.46,1.9342857428499995
0.055,0.47,1.9277168367611544
0.055,0.48,1.9212973603494323
0.055,0.49,1.9150194200445252
0.055,0.5,1.908875702058566
0.055,0.51,1.902859432416885
0.055,0.52,1.8969643396254106
0.055,0.53,1.891184619794739
0.055,0.54,1.8855149040543104
0.055,0.55,1.8799502281020204
0.055,0.56,1.874486003745275
0.055,0.57,1.8691179922991876
0.055,0.58,1.863842279716535
0.055,0.59,1.8586552533323148
0.055,0.6,1.8535535801134109
0.055,0.61,1.8485341863110503
0.055,0.62,1.8435942384204458
0.055,0.63,1.8387311253583558
